Type,Year,Value,,,,,,
GG,1990,6397.14449,,,,,,
GG,1991,6330.937886,,,,,,
GG,1992,6448.677154,,,,,,
GG,1993,6566.415856,,,,,,
GG,1994,6650.296595,,,,,,
GG,1995,6748.528926,,,,,,
GG,1996,6949.838004,,,,,,
GG,1997,6999.9991,,,,,,
GG,1998,7066.788163,,,,,,
GG,1999,7090.442611,,,,,,
GG,2000,7258.973117,,,,,,
GG,2001,7140.899141,,,,,,
GG,2002,7185.328138,,,,,,
GG,2003,7224.974033,,,,,,
GG,2004,7369.970035,,,,,,
GG,2005,7378.775498,,,,,,
GG,2006,7316.144456,,,,,,
GG,2007,7422.207963,,,,,,
GG,2008,7216.415071,,,,,,
GG,2009,6776.229774,,,,,,
GG,2010,6985.457053,,,,,,
GG,2011,6865.397903,,,,,,
GG,2012,6643.010578,,,,,,
GG,2013,6799.987643,,,,,,
GG,2014,6870.454432,,,,,,
Temp,1990,53.51,,,,,,
Temp,1991,53.16,,,,,,
Temp,1992,52.6,,,,,,
Temp,1993,51.26,,,,,,
Temp,1994,52.87,,,,,,
Temp,1995,52.65,,,,,,
Temp,1996,51.89,,,,,,
Temp,1997,52.2,,,,,,
Temp,1998,54.23,,,,,,
Temp,1999,53.88,,,,,,
Temp,2000,53.27,,,,,,
Temp,2001,53.7,,,,,,
Temp,2002,53.21,,,,,,
Temp,2003,53.26,,,,,,
Temp,2004,53.1,,,,,,
Temp,2005,53.64,,,,,,
Temp,2006,54.25,,,,,,
Temp,2007,53.65,,,,,,
Temp,2008,52.29,,,,,,
Temp,2009,52.39,,,,,,
Temp,2010,52.98,,,,,,
Temp,2011,53.18,,,,,,
Temp,2012,55.28,,,,,,
Temp,2013,52.43,,,,,,
Temp,2014,52.54,,,,,,
